11 1898 8997
0 0 -0.358349 0.0476099
1 0 -0.345231 0.0238595
0 1 -0.355407 0.0143216
1 1 -0.341615 -0.0103177
0 2 -0.355407 0.0143216
1 2 -0.341615 -0.0103177
0 3 -0.354113 0.117515
1 3 -0.348059 0.091289
0 4 -0.352145 0.13692
1 4 -0.345564 0.110958
0 5 -0.350577 0.0878277
1 5 -0.344619 0.0605336
0 6 -0.349578 0.179158
1 6 -0.353305 0.153489
0 7 -0.349056 0.00767495
1 7 -0.334802 -0.0165234
0 8 -0.349056 0.00767495
1 8 -0.334802 -0.0165234
0 9 -0.346141 0.159386
1 9 -0.348813 0.133144
0 10 -0.343919 0.0551875
1 10 -0.333486 0.0314542
0 11 -0.339813 0.0678905
1 11 -0.335635 0.0435961
0 12 -0.338436 0.0296945
1 12 -0.325258 0.00529973
0 13 -0.336829 0.0158619
1 13 -0.324528 -0.00750066
0 14 -0.33368 0.00639985
1 14 -0.320362 -0.0164421
0 15 -0.330737 0.0179049
1 15 -0.319162 -0.00536307
0 16 -0.328713 0.0125517
1 16 -0.316726 -0.0103824
0 17 -0.325563 0.00592852
1 17 -0.31255 -0.0164227
0 18 -0.324979 0.0201497
1 18 -0.313553 -0.00240944
0 19 -0.32303 0.114411
1 19 -0.325716 0.0904622
0 20 -0.32303 0.114411
1 20 -0.325716 0.0904622
0 21 -0.322437 0.0118541
1 21 -0.309906 -0.0103308
0 22 -0.318139 0.00794851
1 22 -0.305579 -0.0143879
0 23 -0.312387 0.0059759
1 23 -0.299729 -0.0156607
0 24 -0.312387 0.0059759
1 24 -0.299729 -0.0156607
0 25 -0.312209 0.0369549
1 25 -0.301491 0.0158095
0 26 -0.301447 0.0326043
1 26 -0.288997 0.0108721
0 27 -0.294593 -0.00062315
1 27 -0.281513 -0.0207643
0 28 -0.286524 0.0104274
1 28 -0.274998 -0.00950833
0 29 -0.286216 -0.0103418
1 29 -0.272159 -0.0298746
0 30 -0.274869 -0.00672845
1 30 -0.261463 -0.0257887
0 31 -0.271785 -0.0526353
1 31 -0.253076 -0.0740626
0 32 -0.271334 -0.0162469
1 32 -0.257013 -0.0346286
0 33 -0.27084 0.0205944
1 33 -0.258662 0.00163337
0 34 -0.260757 -0.00344426
1 34 -0.248234 -0.0212046
0 35 -0.260757 -0.00344426
1 35 -0.248234 -0.0212046
0 36 -0.258689 -0.0208888
1 36 -0.243745 -0.038479
0 37 -0.254055 0.00722086
1 37 -0.241504 -0.0101758
0 38 -0.250832 -0.0170295
1 38 -0.236464 -0.0339182
0 39 -0.250832 -0.0170295
1 39 -0.236464 -0.0339182
0 40 -0.250634 -0.00250286
1 40 -0.238588 -0.0202764
0 37 -0.245705 0.00440473
0 41 -0.245245 -0.0156519
1 41 -0.231446 -0.0326084
0 42 -0.240712 0.0346496
1 42 -0.222816 0.0194281
0 43 -0.239759 -0.00720552
1 43 -0.226799 -0.0236257
0 44 -0.234035 -0.00971781
1 44 -0.221022 -0.0256502
0 45 -0.233663 0.183863
1 45 -0.253915 0.166614
0 46 -0.2322 0.243914
1 46 -0.268355 0.22665
0 47 -0.2322 0.243914
1 47 -0.268355 0.22665
0 48 -0.231524 -0.022452
1 48 -0.216779 -0.0382865
0 49 -0.229308 0.236895
1 49 -0.26407 0.219687
0 50 -0.228294 0.132193
1 50 -0.242041 0.116467
0 51 -0.22348 0.106159
1 51 -0.232352 0.0903298
0 52 -0.220913 -0.0245762
1 52 -0.206039 -0.0394265
0 53 -0.220706 -0.0120528
1 53 -0.207718 -0.0270849
0 54 -0.217342 0.219648
1 54 -0.248916 0.204023
0 55 -0.214731 -0.0226301
1 55 -0.200597 -0.0379015
0 56 -0.213338 0.0522523
1 56 -0.213111 0.0376188
0 57 -0.211266 -0.0271621
1 57 -0.196122 -0.0413091
0 58 -0.209595 0.238044
1 58 -0.245105 0.222744
0 59 -0.207644 0.232971
1 59 -0.240783 0.217792
0 60 -0.206909 0.211214
1 60 -0.237677 0.196482
0 61 -0.206295 -0.0292295
1 61 -0.191005 -0.0429283
0 62 -0.205574 0.233597
1 62 -0.240535 0.21897
0 63 -0.20391 0.217108
1 63 -0.236173 0.202467
0 64 -0.201512 -0.0155002
1 64 -0.187113 -0.0288085
0 65 -0.200861 0.0082436
1 65 -0.186935 -0.00377111
0 66 -0.199538 -0.0302777
1 66 -0.184133 -0.0437674
0 67 -0.19926 0.224231
1 67 -0.232596 0.210016
0 68 -0.197252 -0.00423385
1 68 -0.181385 -0.0179784
0 69 -0.197148 0.234616
1 69 -0.23239 0.220832
0 70 -0.197148 0.234616
1 70 -0.23239 0.220832
0 71 -0.193478 -0.0399105
1 71 -0.177029 -0.0529717
0 72 -0.18939 -0.0330422
1 72 -0.173542 -0.0458323
0 73 -0.18939 -0.0330422
1 73 -0.173542 -0.0458323
0 74 -0.186539 -0.00757982
1 74 -0.167857 -0.0204267
0 75 -0.185323 0.152541
1 75 -0.207155 0.139786
0 76 -0.183757 0.292322
1 76 -0.21961 0.280354
0 77 -0.175897 -0.050682
1 77 -0.156134 -0.0623586
0 78 -0.172946 0.159885
1 78 -0.196703 0.148059
0 79 -0.172946 0.159885
1 79 -0.196703 0.148059
0 80 -0.171997 -0.0275556
1 80 -0.156154 -0.0412771
0 81 -0.167891 0.00939229
1 81 -0.158531 -0.00226799
0 82 -0.167705 -0.0518279
1 82 -0.14906 -0.0634782
0 83 -0.163492 0.164884
1 83 -0.188142 0.154244
0 84 -0.163492 0.164884
1 84 -0.188142 0.154244
0 85 -0.154128 0.171324
1 85 -0.179919 0.161502
0 86 -0.154128 0.171324
1 86 -0.179919 0.161502
0 87 -0.150209 0.153936
1 87 -0.173139 0.14501
0 88 -0.149357 0.155406
1 88 -0.172745 0.146195
0 89 -0.143351 -0.00792185
1 89 -0.127815 -0.0160817
0 90 -0.143351 -0.00792185
1 90 -0.127815 -0.0160817
0 91 -0.137907 0.165732
1 91 -0.162786 0.157033
0 92 -0.137401 0.165645
1 92 -0.164677 0.15947
0 93 -0.137401 0.165645
1 93 -0.164677 0.15947
0 94 -0.132404 0.162388
1 94 -0.156337 0.154448
0 95 -0.132404 0.162388
1 95 -0.156337 0.154448
0 96 -0.112147 0.051169
1 96 -0.109226 0.0435452
0 97 -0.109757 0.113031
1 97 -0.117676 0.107415
0 98 -0.0990414 0.0276436
1 98 0.2462 0.0371457
0 99 -0.0943271 0.0808692
1 99 -0.0951438 0.0761677
0 100 -0.0943271 0.0808692
1 100 -0.0951438 0.0761677
0 101 -0.0852819 0.160471
1 101 -0.107998 0.157489
0 102 -0.0797228 0.166697
1 102 -0.103995 0.163931
0 103 -0.07608 0.0528432
1 103 -0.0683548 0.0483705
0 104 -0.074186 0.0700637
1 104 -0.0679227 0.0663051
0 105 -0.0691704 0.0764934
1 105 -0.0622366 0.0733868
0 106 -0.0674442 0.146087
1 106 -0.0860952 0.144625
0 107 -0.0671949 0.186527
1 107 -0.0953125 0.184751
0 108 -0.0671949 0.186527
1 108 -0.0953125 0.184751
0 109 -0.061494 0.170412
1 109 -0.0865665 0.169621
0 110 -0.0577933 0.116314
1 110 -0.0621835 0.118682
0 50 -0.0577933 0.116314
0 111 -0.0532951 0.155138
1 111 -0.0752304 0.154872
0 112 -0.0452931 0.157844
1 112 -0.0670614 0.157803
0 113 -0.041008 0.148273
1 113 -0.0531575 0.152213
0 114 -0.0409061 0.165902
1 114 -0.064215 0.16436
0 115 -0.0320027 0.259285
1 115 -0.0665575 0.262342
0 116 -0.0226765 0.238943
1 116 -0.0516214 0.243754
0 117 0.0313325 -0.0705184
1 117 0.0451711 -0.0698175
0 118 0.0413163 0.20287
1 118 0.0170819 0.211936
0 119 0.0425073 -0.0771005
1 119 0.0617683 -0.0797146
0 120 0.0432104 -0.0570049
1 120 0.0566876 -0.0549608
0 121 0.043706 -0.303697
1 121 0.0627701 -0.311748
0 122 0.045005 0.210865
1 122 0.0219611 0.220522
0 123 0.0455721 -0.277704
1 123 0.0546846 -0.285786
0 124 0.0455721 -0.277704
1 124 0.0546846 -0.285786
0 125 0.053716 -0.274176
1 125 0.0631652 -0.281504
0 126 0.0560186 -0.167164
1 126 0.0676448 -0.169434
0 127 0.0563483 -0.0611907
1 127 0.0704814 -0.0583969
0 128 0.0575668 -0.120832
1 128 0.0700558 -0.120542
0 129 0.0576305 -0.130551
1 129 0.0699369 -0.13116
0 130 0.0615449 -0.114681
1 130 0.074366 -0.114069
0 131 0.0621623 -0.270591
1 131 0.0728165 -0.277366
0 132 0.0680348 -0.276381
1 132 0.0913274 -0.27874
0 133 0.0688382 -0.172806
1 133 0.0808662 -0.174533
0 134 0.0695884 -0.270212
1 134 0.0891137 -0.273491
0 135 0.0697792 -0.13836
1 135 0.0825791 -0.13838
0 136 0.0698134 -0.180854
1 136 0.0812506 -0.183289
0 137 0.0716186 -0.199168
1 137 0.0834086 -0.201856
0 138 0.0764776 -0.173719
1 138 0.0891894 -0.1748
0 134 0.0781939 -0.267416
0 132 0.0796494 -0.272557
0 139 0.0840765 -0.185221
1 139 0.0969327 -0.18693
0 140 0.0846312 -0.266341
1 140 0.0954923 -0.272299
0 141 0.0862153 -0.195777
1 141 0.0990223 -0.198073
0 142 0.0885808 -0.204809
1 142 0.135671 -0.202202
0 143 0.0895084 -0.291512
1 143 0.098564 -0.301814
0 144 0.0896019 -0.190167
1 144 0.102055 -0.191766
0 145 0.0906962 -0.138718
1 145 0.104721 -0.137383
0 146 0.0914952 -0.171666
1 146 0.104819 -0.172311
0 147 0.091782 -0.150363
1 147 0.105574 -0.14978
0 148 0.091782 -0.150363
1 148 0.105574 -0.14978
0 149 0.0919118 -0.0671003
1 149 0.117372 -0.0651344
0 150 0.0927987 -0.160898
1 150 0.106482 -0.160727
0 151 0.0935329 -0.180579
1 151 0.106509 -0.18134
0 152 0.0935623 -0.261125
1 152 0.105608 -0.26613
0 153 0.096174 -0.136211
1 153 0.110629 -0.134529
0 154 0.096174 -0.136211
1 154 0.110629 -0.134529
0 155 0.0994631 -0.197991
1 155 0.112822 -0.199325
0 156 0.0996644 -0.154578
1 156 0.113961 -0.15347
0 157 0.101031 0.0244023
1 157 0.127872 0.0361348
0 158 0.102755 -0.180348
1 158 0.116804 -0.180685
0 159 0.103647 -0.298892
1 159 0.127023 -0.301816
0 160 0.103647 -0.298892
1 160 0.127023 -0.301816
0 161 0.104468 -0.200841
1 161 0.118053 -0.202057
0 162 0.105387 -0.173398
1 162 0.119659 -0.173209
0 163 0.105901 0.0604243
1 163 0.125063 0.0725542
0 164 0.106519 -0.173967
1 164 0.123839 -0.174634
0 165 0.106714 -0.257701
1 165 0.11933 -0.262159
0 166 0.108276 -0.196597
1 166 0.122653 -0.197058
0 167 0.111695 -0.26674
1 167 0.127199 -0.270811
0 168 0.111793 -0.165666
1 168 0.126658 -0.164776
0 169 0.111807 -0.17807
1 169 0.126377 -0.1778
0 170 0.112311 0.045563
1 170 0.131902 0.0573984
0 171 0.114561 -0.173469
1 171 0.12546 -0.170924
0 172 0.115451 -0.142745
1 172 0.131255 -0.14027
0 173 0.115451 -0.142745
1 173 0.131255 -0.14027
0 174 0.115992 -0.19033
1 174 0.130154 -0.190488
0 175 0.116739 -0.16298
1 175 0.1319 -0.161735
0 176 0.118355 0.0369489
1 176 0.138015 0.0488748
0 177 0.11879 -0.149054
1 177 0.133955 -0.146251
0 178 0.118802 -0.278661
1 178 0.134241 -0.280931
0 142 0.121052 -0.201802
0 179 0.122139 0.0155777
1 179 0.141655 0.0267697
0 180 0.122386 -0.168947
1 180 0.137209 -0.167421
0 181 0.122626 0.00729562
1 181 0.141821 0.0180439
0 182 0.122936 -0.136594
1 182 0.139114 -0.133832
0 183 0.126153 -0.17121
1 183 0.141855 -0.169998
0 184 0.126593 -0.155082
1 184 0.142566 -0.152731
0 185 0.127367 -0.198353
1 185 0.147391 -0.197533
0 186 0.128228 -0.147984
1 186 0.144407 -0.145004
0 187 0.12986 -0.258705
1 187 0.144224 -0.26177
0 188 0.131272 -0.181333
1 188 0.147432 -0.179875
0 189 0.131437 -0.274223
1 189 0.14559 -0.278454
0 190 0.134222 -0.173655
1 190 0.15012 -0.171783
0 191 0.13428 -0.278523
1 191 0.148643 -0.2832
0 192 0.135527 -0.143437
