12 650 3241
0 0 -0.544221 0.2247
1 0 -0.576966 0.209957
0 1 -0.535068 0.216653
1 1 -0.567901 0.202362
0 2 -0.511806 -0.194732
1 2 -0.559076 -0.194648
0 3 -0.50601 -0.165128
1 3 -0.550775 -0.166525
0 4 -0.49971 -0.220854
1 4 -0.548533 -0.220359
0 5 -0.489987 0.188155
1 5 -0.525447 0.178476
0 6 -0.475594 -0.22249
1 6 -0.524848 -0.222625
0 7 -0.469245 -0.210577
1 7 -0.518527 -0.211445
0 8 -0.469245 -0.210577
1 8 -0.518527 -0.211445
0 9 -0.46188 -0.178308
1 9 -0.511276 -0.178296
0 10 -0.461102 -0.186381
1 10 -0.509685 -0.187103
0 11 -0.458317 -0.20232
1 11 -0.506847 -0.203583
0 12 -0.456708 -0.18787
1 12 -0.503862 -0.188047
0 13 -0.444578 0.0179567
1 13 -0.500186 0.0133857
0 14 -0.440213 0.0433695
1 14 -0.493409 0.0415331
0 15 -0.439558 0.0261873
1 15 -0.495802 0.0224102
0 16 -0.439558 0.0261873
1 16 -0.495802 0.0224102
0 17 -0.43288 0.00435043
1 17 -0.492968 0.000633567
0 18 -0.425343 -0.138663
1 18 -0.466231 -0.141924
0 19 -0.423099 -0.0751957
1 19 -0.479871 -0.0825279
0 20 -0.423099 -0.0751957
1 20 -0.479871 -0.0825279
0 21 -0.415483 0.00657432
1 21 -0.472399 0.00153268
0 22 -0.413502 0.0303509
1 22 -0.468421 0.0234657
0 23 -0.408634 0.100715
1 23 -0.443893 0.0933727
0 24 -0.40557 0.0599367
1 24 -0.461386 0.0554236
0 25 -0.40557 0.0599367
1 25 -0.461386 0.0554236
0 26 -0.393466 0.0565686
1 26 -0.44782 0.0507433
0 27 -0.3883 0.0148112
1 27 -0.421423 0.00795841
0 28 -0.381298 0.0530241
1 28 -0.436554 0.0473573
0 29 -0.381298 0.0530241
1 29 -0.436554 0.0473573
0 30 -0.376801 0.0562502
1 30 -0.433363 0.0495127
0 31 -0.370361 0.155524
1 31 -0.402589 0.146597
0 32 -0.370361 0.155524
1 32 -0.402589 0.146597
0 33 -0.363345 0.174081
1 33 -0.398607 0.164348
0 34 -0.3525 0.0389071
1 34 -0.403116 0.0327396
0 35 -0.34317 0.0658034
1 35 -0.392775 0.0597137
0 36 -0.32007 0.0311676
1 36 -0.335474 0.0190452
0 37 -0.301324 0.125411
1 37 -0.336121 0.117027
0 38 -0.125684 -0.0544185
1 38 -0.1237 -0.0600338
0 39 -0.0301213 -0.0146221
1 39 -0.0442728 -0.0218898
0 39 -0.0239856 -0.0163572
0 40 -0.0108825 -0.0138883
1 40 -0.025638 -0.0207777
0 41 0.00884603 -0.00874516
1 41 -0.00573238 -0.0153088
0 42 0.0249019 0.0926876
1 42 -0.00332047 0.0894867
0 43 0.0597566 0.0719417
1 43 0.0353801 0.0691138
0 44 0.0639249 -0.0638823
1 44 0.0607233 -0.0743363
0 45 0.0639249 -0.0638823
1 45 0.0607233 -0.0743363
0 46 0.0709837 0.10778
1 46 0.0838719 0.0945943
0 47 0.114919 -0.00958496
1 47 0.104784 -0.0156075
0 48 0.124922 -0.00778488
1 48 0.115224 -0.0134552
0 49 0.14163 -0.148216
1 49 0.133337 -0.159192
0 50 0.142626 -0.17299
1 50 0.131721 -0.18149
0 51 0.146181 -0.114797
1 51 0.137148 -0.124994
0 52 0.146546 -0.135298
1 52 0.173209 -0.138988
0 53 0.150394 -0.152358
1 53 0.141799 -0.16308
0 54 0.152399 -0.0273468
1 54 0.151439 -0.035024
0 55 0.152818 0.0232398
1 55 0.148419 0.0170664
0 55 0.152982 0.0226502
0 56 0.153481 0.00368468
1 56 0.152178 -0.000673764
0 57 0.161845 -0.0815296
1 57 0.157188 -0.0912159
0 58 0.164274 0.00508334
1 58 0.159602 -0.000376991
0 59 0.165316 -0.0149173
1 59 0.161642 -0.0213148
0 60 0.167353 -0.00143924
1 60 0.161257 -0.00708066
0 61 0.167353 -0.00143924
1 61 0.161257 -0.00708066
0 62 0.169598 -0.0667321
1 62 0.163712 -0.0756358
0 63 0.170879 0.0129008
1 63 0.16718 0.00836853
0 64 0.172922 0.050953
1 64 0.167219 0.0480028
0 65 0.17814 -0.014645
1 65 0.176444 -0.022186
0 66 0.178399 -0.0252519
1 66 0.175012 -0.031973
0 67 0.178571 -0.0480111
1 67 0.17513 -0.0555156
0 52 0.178776 -0.128035
0 68 0.178909 -0.106587
1 68 0.174144 -0.116744
0 69 0.179174 -0.0392626
1 69 0.175884 -0.0466576
0 70 0.185247 0.0299099
1 70 0.185244 0.0261905
0 71 0.196709 -0.0158969
1 71 0.196303 -0.0254399
0 72 0.227412 0.0215999
1 72 0.243257 0.0131504
0 73 0.324927 0.0643306
1 73 0.331645 0.0646139
0 74 0.331946 0.0411406
1 74 0.335529 0.0401169
0 75 0.345933 -0.0289501
1 75 0.347857 -0.0342022
0 76 0.354235 -0.0274106
1 76 0.356133 -0.0322161
0 77 0.355286 -0.00090026
1 77 0.362076 -0.00392886
0 78 0.36614 -0.0111759
1 78 0.36929 -0.015409
0 79 0.366713 -0.189885
1 79 0.378702 -0.202001
0 80 0.369664 0.0727003
1 80 0.375287 0.0736852
0 81 0.373775 -0.0782391
1 81 0.371055 -0.0872871
0 82 0.376503 0.0750588
1 82 0.384055 0.0762674
0 83 0.378606 -0.0901048
1 83 0.37988 -0.0995152
0 83 0.378606 -0.0901048
0 83 0.378606 -0.0901048
0 84 0.383797 -0.16217
1 84 0.377257 -0.174546
0 85 0.385744 -0.0779209
1 85 0.388088 -0.0861928
0 86 0.389726 0.0689933
1 86 0.425669 0.0532859
0 87 0.399639 0.0592777
1 87 0.412061 0.0571518
0 88 0.400399 -0.147047
1 88 0.403401 -0.159987
0 89 0.403128 -0.15581
1 89 0.405368 -0.169939
0 90 0.414993 0.0138721
1 90 0.421745 0.0122997
0 91 0.416635 -0.149558
1 91 0.419897 -0.163172
0 91 0.416635 -0.149558
0 92 0.416635 -0.149558
1 92 0.419897 -0.163172
0 93 0.416635 -0.149558
1 93 0.419897 -0.163172
0 94 0.421873 -0.0216928
1 94 0.429491 -0.0254058
0 95 0.426184 0.0502267
1 95 0.43491 0.0509622
0 96 0.427565 0.0314722
1 96 0.43678 0.0292768
0 97 0.433482 -0.144663
1 97 0.437653 -0.158631
0 98 0.4405 0.0717382
1 98 0.455306 0.077768
0 99 0.441102 -0.0954575
1 99 0.447736 -0.104548
0 100 0.442865 0.0340817
1 100 0.45665 0.0344928
0 101 0.446102 0.0249972
1 101 0.461921 0.023893
0 102 0.447649 -0.162452
1 102 0.462208 -0.178182
0 103 0.447984 -0.0799364
1 103 0.454333 -0.0878038
0 104 0.448456 0.0613166
1 104 0.467559 0.0641415
0 105 0.452394 0.051712
1 105 0.469379 0.0516683
0 106 0.45775 -0.0791477
1 106 0.465933 -0.0862704
0 107 0.458309 -0.0206564
1 107 0.468346 -0.0246559
0 108 0.46203 -0.0311733
1 108 0.475309 -0.0362314
0 109 0.496213 -0.0328541
1 109 0.512991 -0.0371312
0 110 0.498683 0.0711599
1 110 0.518431 0.0746361
0 111 0.506425 -0.11574
1 111 0.516884 -0.130007
0 112 0.506797 0.0430076
1 112 0.526539 0.0444509
0 113 0.506797 0.0430076
1 113 0.526539 0.0444509
0 114 0.50767 -0.136483
1 114 0.520228 -0.149603
0 115 0.511078 -0.0785464
1 115 0.523995 -0.0873982
0 116 0.513852 -0.11828
1 116 0.526959 -0.129739
0 117 0.517661 -0.1068
1 117 0.532738 -0.11683
0 118 0.518116 -0.0918079
1 118 0.526344 -0.100464
0 118 0.519181 -0.0917414
0 119 0.523582 -0.0963139
1 119 0.460795 -0.086663
0 120 0.547706 0.0016362
1 120 0.562199 0.0242542
0 121 0.560441 -0.139557
1 121 0.577464 -0.153139
0 121 0.560441 -0.139557
0 122 0.562633 -0.131872
1 122 0.568232 -0.149937
0 123 -0.424084 0.0556143
2 123 -0.520439 0.0581595
2 22 -0.512941 0.030029
2 24 -0.502696 0.0619494
2 25 -0.502696 0.0619494
2 26 -0.489308 0.0580853
0 124 -0.228889 -0.0903123
2 124 -0.247734 -0.0975508
0 125 -0.207914 0.116097
2 125 -0.235513 0.126061
0 126 -0.162682 0.0169507
2 126 -0.178757 0.018692
0 126 -0.15374 0.0192634
2 38 -0.133003 -0.0531256
2 39 0.487049 -0.0340918
0 127 -0.0254101 -0.199382
2 127 -0.0592178 -0.205088
2 41 -0.0245889 -0.00622489
0 128 0.0171142 -0.203053
2 128 -0.0172852 -0.209678
0 129 0.0315363 0.113616
2 129 0.0159113 0.11679
0 130 0.0355206 -0.194035
2 130 0.00076072 -0.198446
0 131 0.0445385 -0.209134
2 131 0.0103143 -0.216118
0 132 0.0463969 -0.199036
2 132 0.0119059 -0.205688
0 133 0.0501256 -0.204269
2 133 0.0168249 -0.210626
0 134 0.0600275 -0.202461
2 134 0.0266132 -0.21055
0 135 0.149335 -0.031515
2 135 0.130496 -0.0292832
0 136 0.150846 -0.0135026
2 136 -0.526178 -0.156571
2 54 0.137813 -0.0226313
0 137 0.157913 -0.163633
2 137 0.132541 -0.195657
2 65 0.16465 -0.0120898
2 66 0.163117 -0.0215337
0 138 0.178898 -0.0944706
2 138 0.160931 -0.108776
2 69 0.164008 -0.0363661
2 74 0.327834 0.0552366
2 76 0.345711 -0.01846
2 78 0.359256 -0.00104182
2 80 0.367468 0.0916907
2 82 0.375294 0.0952422
2 83 0.367599 -0.0893759
0 139 0.40296 -0.104998
2 139 0.394951 -0.105299
2 89 0.393795 -0.162939
0 140 0.414463 -0.150102
2 140 0.407061 -0.156832
2 91 0.409089 -0.155618
2 92 0.409089 -0.155618
2 93 0.409089 -0.155618
2 94 0.421761 -0.0108623
2 95 0.428924 0.0684161
2 96 0.431116 0.0448158
2 97 0.427956 -0.150176
2 98 0.448594 0.0940114
2 99 0.439036 -0.0940394
2 100 0.455087 0.0527206
2 101 0.460378 0.0413747
2 102 0.461443 -0.173166
2 103 0.445133 -0.0757624
2 104 0.468911 0.0838552
2 106 0.45885 -0.0732309
2 107 0.4617 -0.0109513
2 108 0.473133 -0.0221387
0 141 0.481815 -0.152489
2 141 0.490518 -0.16298
0 142 0.484349 -0.0294106
2 142 0.490917 -0.0190763
0 143 0.484349 -0.0294106
2 143 0.512661 -0.0213444
0 144 0.488036 0.0440896
2 144 0.501517 0.0645133
2 110 0.520865 0.0954429
0 145 0.50184 -0.0152237
2 145 0.511883 -0.000975071
2 112 0.528986 0.0644912
2 113 0.528986 0.0644912
2 114 0.516614 -0.141261
0 110 0.50919 0.0716751
0 146 0.51735 -0.111552
2 146 0.529056 -0.111764
2 117 0.530856 -0.106288
2 118 0.523783 -0.0885953
0 147 0.521451 -0.0982501
2 147 0.534703 -0.0949457
0 147 0.523582 -0.0963139
0 148 0.537276 -0.00715516
2 148 0.552773 0.00906259
0 149 0.538268 -0.0320326
2 149 0.553586 -0.0208164
0 150 0.549407 -0.0251409
2 150 0.566759 -0.0113083
0 108 0.551035 -0.0344803
2 121 0.578081 -0.144755
2 121 0.578081 -0.144755
0 151 -0.507392 -0.178306
3 151 -0.565667 -0.181765
