9 2451 9460
0 0 -0.462075 0.0573508
1 0 -0.573948 0.121017
0 1 -0.422374 0.142488
1 1 -0.546071 0.20232
0 2 -0.422364 0.235614
1 2 -0.545885 0.289756
0 3 -0.414519 0.170604
1 3 -0.536728 0.227233
0 4 -0.39292 0.167547
1 4 -0.513667 0.224864
0 5 -0.387149 0.161704
1 5 -0.505631 0.222149
0 6 -0.364863 -0.175439
1 6 -0.465271 -0.105212
0 7 -0.363818 -0.165727
1 7 -0.466172 -0.0958065
0 8 -0.361535 -0.112949
1 8 -0.464214 -0.0474247
0 9 -0.359542 -0.121031
1 9 -0.46199 -0.0550735
0 10 -0.358697 -0.228876
1 10 -0.464597 -0.156067
0 11 -0.355717 -0.147977
1 11 -0.4575 -0.0807488
0 12 -0.351219 -0.258443
1 12 -0.454991 -0.184089
0 13 -0.35101 -0.109817
1 13 -0.453181 -0.0447893
0 14 -0.347975 -0.0844943
1 14 -0.449152 -0.0204374
0 15 -0.345256 -0.0997202
1 15 -0.447872 -0.0351494
0 16 -0.342068 -0.0814312
1 16 -0.443875 -0.0174943
0 17 -0.338625 -0.241589
1 17 -0.446257 -0.167604
0 18 -0.338625 -0.241589
1 18 -0.446257 -0.167604
0 19 -0.33853 -0.0862859
1 19 -0.440685 -0.0228007
0 20 -0.335714 -0.125857
1 20 -0.43965 -0.0595083
0 21 -0.335714 -0.125857
1 21 -0.43965 -0.0595083
0 22 -0.334688 -0.20415
1 22 -0.437284 -0.133446
0 23 -0.331568 -0.251353
1 23 -0.438521 -0.176399
0 24 -0.33033 -0.106161
1 24 -0.432043 -0.0422101
0 25 -0.329958 -0.0809292
1 25 -0.432808 -0.0172757
0 26 -0.329726 -0.0660792
1 26 -0.430376 -0.00335937
0 27 -0.328395 0.0861421
1 27 -0.430076 0.145583
0 28 -0.321737 -0.198407
1 28 -0.42761 -0.126487
0 29 -0.320445 -0.119843
1 29 -0.423647 -0.0538586
0 28 -0.320058 -0.19811
0 30 -0.317048 -0.102536
1 30 -0.42141 -0.0371111
0 31 -0.309541 0.0982306
1 31 -0.414755 0.155971
0 32 -0.309302 -0.21652
1 32 -0.416629 -0.14511
0 33 -0.308497 0.0812264
1 33 -0.412209 0.140534
0 34 -0.308377 -0.219538
1 34 -0.416079 -0.146996
0 35 -0.307835 -0.169081
1 35 -0.41319 -0.0993208
0 36 -0.307835 -0.169081
1 36 -0.41319 -0.0993208
0 37 -0.306558 -0.239523
1 37 -0.413742 -0.166048
0 38 -0.306451 -0.245537
1 38 -0.414048 -0.170581
0 39 -0.303483 -0.259485
1 39 -0.40773 -0.186349
0 40 -0.303072 0.0676113
1 40 -0.406367 0.125774
0 41 -0.303072 0.0676113
1 41 -0.406367 0.125774
0 42 -0.298129 -0.209549
1 42 -0.406833 -0.137065
