12 2816 10312
0 0 -0.428891 -0.261567
1 0 -0.45049 -0.287664
0 1 -0.422538 -0.229839
1 1 0.0399456 -0.172317
0 2 -0.417007 -0.255592
1 2 -0.440165 -0.281399
0 3 -0.417007 -0.255592
1 3 -0.440165 -0.281399
0 4 -0.411572 -0.279878
1 4 -0.434253 -0.30382
0 5 -0.411572 -0.279878
1 5 -0.434253 -0.30382
0 6 -0.410827 -0.292579
1 6 -0.431491 -0.315401
0 7 -0.403995 -0.264489
1 7 -0.430742 -0.28995
0 8 -0.398396 -0.300377
1 8 -0.41837 -0.322529
0 9 -0.395 -0.264725
1 9 -0.422212 -0.289629
0 10 -0.391434 -0.298172
1 10 -0.410169 -0.318841
0 8 -0.384869 -0.301275
0 11 -0.384639 -0.284545
1 11 -0.409527 -0.307844
0 12 -0.379082 -0.204266
1 12 -0.408589 -0.231647
0 13 -0.376782 -0.206164
1 13 -0.40564 -0.233205
0 14 -0.375039 -0.279415
1 14 -0.40209 -0.301991
0 15 -0.373547 -0.203331
1 15 -0.403076 -0.230399
0 16 -0.371103 -0.241201
1 16 -0.397223 -0.263213
0 17 -0.367066 0.113591
1 17 -0.405853 0.0746385
0 18 -0.361586 -0.20409
1 18 -0.39245 -0.230685
0 19 -0.359992 0.0485371
1 19 -0.39657 0.0131709
0 20 -0.35708 -0.261001
1 20 -0.387826 -0.284583
0 21 -0.354013 -0.27033
1 21 -0.38356 -0.293118
0 22 -0.352066 0.0545414
1 22 -0.389523 0.0190434
0 23 -0.352066 0.0545414
1 23 -0.389523 0.0190434
0 24 -0.351759 -0.196066
1 24 -0.383989 -0.222798
0 25 -0.351515 -0.278472
1 25 -0.379582 -0.300607
0 26 -0.351381 0.0977675
1 26 -0.389177 0.0619779
0 27 -0.347566 -0.267343
1 27 -0.37789 -0.289888
0 28 -0.333461 0.0682031
1 28 -0.370385 0.0354748
0 29 -0.333461 0.0682031
1 29 -0.370385 0.0354748
0 30 -0.333361 -0.256679
1 30 -0.366243 -0.27968
0 31 -0.325181 0.0733073
1 31 -0.363152 0.0408253
0 32 -0.324214 -0.18691
1 32 -0.359008 -0.21301
0 33 -0.320563 -0.262978
1 33 -0.352489 -0.285286
0 34 -0.317641 0.0340642
1 34 -0.353779 0.000864799
0 35 -0.314242 0.153106
1 35 -0.369033 0.112199
0 36 -0.31172 0.11873
1 36 -0.362062 0.0808551
0 37 -0.306118 0.118878
1 37 -0.357547 0.0809218
0 38 -0.303959 0.0482754
1 38 -0.34443 0.0188142
0 39 -0.303452 -0.0806353
1 39 -0.343133 -0.109745
0 40 -0.303148 0.145531
1 40 -0.356798 0.105362
0 41 -0.301883 0.133705
1 41 -0.354546 0.0947822
0 42 -0.300177 0.108791
1 42 -0.352328 0.0707826
0 43 -0.297182 0.194092
1 43 -0.347579 0.155364
0 44 -0.296706 0.218233
1 44 -0.352457 0.177
0 45 -0.295643 -0.0683224
1 45 -0.337073 -0.0978826
0 46 -0.294961 0.107524
1 46 -0.347419 0.0702814
0 47 -0.290449 0.10858
1 47 -0.343061 0.0714243
0 48 -0.285379 0.105774
1 48 -0.338163 0.0689259
0 49 -0.285379 0.105774
1 49 -0.338163 0.0689259
0 50 -0.284348 -0.173087
1 50 -0.322617 -0.197688
0 51 -0.281719 0.176487
1 51 -0.328824 0.140061
0 52 -0.279866 -0.0701352
1 52 -0.322026 -0.0987539
0 53 -0.278654 -0.104075
1 53 -0.31272 -0.12921
0 54 -0.273953 0.0355851
1 54 -0.316361 0.0061119
0 55 -0.272153 0.104816
1 55 -0.325808 0.0691653
0 56 -0.268423 0.155634
1 56 -0.316514 0.120108
0 57 -0.266467 0.197469
1 57 -0.316003 0.161138
0 58 -0.26588 -0.0712082
1 58 -0.308916 -0.0987145
0 59 -0.263225 0.126845
1 59 -0.31926 0.0909789
0 60 -0.260536 0.104976
1 60 -0.314994 0.0696091
0 61 -0.255635 0.101706
1 61 -0.301652 0.0645682
0 62 -0.25149 0.104016
1 62 -0.312497 0.0627011
0 63 -0.247344 -0.0518986
1 63 -0.292735 -0.0789767
0 64 -0.247344 -0.0518986
1 64 -0.292735 -0.0789767
0 65 -0.247167 0.0386679
1 65 -0.290593 0.0102911
0 66 -0.246222 0.0982942
1 66 -0.301652 0.0645682
0 67 -0.245152 -0.0461767
1 67 -0.290416 -0.0737387
0 68 -0.244824 0.17533
1 68 -0.294538 0.142278
0 69 -0.243433 -0.170446
1 69 -0.285125 -0.193114
0 70 -0.236607 -0.161011
1 70 -0.278498 -0.183406
0 71 -0.233773 0.0948511
1 71 -0.28978 0.0614997
0 72 -0.228795 -0.206413
1 72 -0.268257 -0.227384
0 73 -0.228402 -0.221062
1 73 -0.268868 -0.241523
0 74 -0.222448 -0.234538
1 74 -0.26224 -0.252488
0 75 -0.222448 -0.234538
1 75 -0.26224 -0.252488
0 63 -0.221812 -0.0410501
0 64 -0.221812 -0.0410501
0 76 -0.218079 -0.0352869
1 76 -0.265409 -0.0617517
0 77 -0.21681 -0.20364
1 77 -0.259039 -0.223501
0 78 -0.216083 -0.152119
1 78 -0.25951 -0.173802
0 79 -0.214831 -0.242769
1 79 -0.249756 -0.259552
0 80 -0.210191 -0.14912
1 80 -0.253081 -0.171269
0 81 -0.206275 0.0500975
1 81 -0.260365 0.0199782
0 82 -0.205459 0.161822
1 82 -0.257675 0.130528
0 83 -0.205264 -0.146398
1 83 -0.24846 -0.167347
0 84 -0.203778 -0.239476
1 84 -0.241182 -0.257044
0 85 -0.202283 -0.0371423
1 85 -0.250754 -0.0627988
0 86 -0.201071 -0.235416
1 86 -0.240151 -0.252368
0 87 -0.196765 -0.151312
1 87 -0.241547 -0.172429
0 88 -0.195626 -0.198463
1 88 -0.236655 -0.217793
0 89 -0.19489 0.111978
1 89 -0.242891 0.0829465
0 90 -0.193677 -0.182774
1 90 -0.238691 -0.202803
0 91 -0.191915 0.061189
1 91 -0.248157 0.0318556
0 92 -0.190883 -0.0297807
